avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.0645237386475432,0.00221557065048137,22.6239177984192,0.1667309713246997,0.7594059412179465,0.002057954606155694
0.05020208045942326,0.0007000324120709192,24.187187116052563,0.1053960316943103,0.8132775187364792,0.0027109148167044506
0.048309994340006726,0.0013458404080529246,24.523932769868544,0.20376344445679992,0.8232538923978397,0.0031174858840436167
0.04731484929112436,0.0007307146094654775,24.694703573034605,0.12286748745347788,0.82788614565379,0.0020481263754890035
0.04697799432276403,0.0007834096106759143,24.773129480657275,0.12879215350221992,0.8302080200883012,0.0016541164616863317
0.04598209861608554,0.001001495247098122,24.95066322467589,0.14761757385370386,0.8321460413402073,0.0014158845470039515
0.045700272238392334,0.0005567437402494122,24.98925565284808,0.08835532856976984,0.8326601863366692,0.0011244685149847998
0.04642244942473529,0.0008925275344386417,24.873218496342723,0.14568750829440993,0.8322133474740877,0.0005747962073739289
0.0457024976560106,0.0005496249437773288,24.98850687999109,0.08217511336168448,0.8326780199417717,0.0012571367403735616
0.04512115013147768,0.0006097846081009866,25.0860361565514,0.10207219577328366,0.8334732132593861,0.0006638445982972743
