avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.008474192201697718,0.0008143040799319434,22.89341916340179,0.24223717087011823,0.7500647514930938,0.006492451694551847
0.004364706835741805,0.00014345146774978452,24.17934894125336,0.11383372438484901,0.791325377759664,0.001163054623653461
0.004381415673032441,7.37024339496067e-05,24.17464822697395,0.02997203588507722,0.7906746375336222,0.000910374328287712
0.0042261664767403555,0.0001216978632271313,24.272870831691044,0.11012240167473471,0.7910322180221956,0.0011906741617242022
0.004291226843105666,0.00014781089524667801,24.248249117677496,0.12241457125421808,0.7900729462810575,0.0012308104561446916
0.0042708615312346395,0.0001821789999895326,24.248776788907342,0.16800348019372302,0.7896045249363739,0.001906784781848017
0.004338479677971918,0.00031737185445315373,24.23986742899727,0.22643894298039222,0.7888543255678186,0.00236480662063787
0.004437571550577509,0.000640477452729142,24.275736660412424,0.28980394826165656,0.7879296021587023,0.003645448005333573
0.004106065520477697,0.00010780467022630784,24.406064131707403,0.09963421016836385,0.7895939007273889,0.001087523251921504
0.004224018971182563,0.00031274129047602914,24.349974577878307,0.22136068287274832,0.7888844860794202,0.0019863904248891926
