avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.012826536098883443,0.0005224760972098349,21.18395885025782,0.174470392476389,0.7187541123696488,0.004967227066324753
0.008230995830672327,0.0007394517339140642,22.717144285512337,0.23624050174980252,0.7648880045631363,0.00535440362777522
0.00665995942577018,0.0002765275816481095,23.14812265792246,0.14579391279759116,0.7731321190700753,0.003926467583786574
0.007047739278193012,0.0005738857034277748,23.236618246145635,0.2934059511170677,0.7733113532196986,0.004245617283446299
0.006249810573373832,0.00047396600161621506,23.468739568368303,0.24411660881685998,0.7766186564038062,0.004911788372157423
0.006152840452177023,0.00038319858249320576,23.5550545672889,0.24438196105568918,0.7782633937971845,0.004233734554361594
0.005936925689307478,0.000626559798145629,23.77462675883243,0.3494496182425983,0.7798514263500292,0.0056342316568516685
0.005947150149197662,0.000655133591092463,23.75445459493285,0.3243510242025792,0.7790924027332501,0.006194076565443721
0.005880123200987415,0.0007494144910567835,23.8237658410888,0.4216036008245734,0.780432320406584,0.006917275616697118
0.006092109823657666,0.0005944665359523894,23.785229405883037,0.3555593998970044,0.7793605161039796,0.006389837826152621
