avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.08435938382323525,0.0010621640866355314,11.19097409223693,0.054570532588448795,0.32769801304101537,0.0063710960851724235
0.08109334721851916,0.001135226710462455,11.360094147486354,0.05874288018708762,0.3428182443323201,0.0060907032832845515
0.07831541977038173,0.0014289912087984773,11.508376972063392,0.07685599465778517,0.35440533886095893,0.006936962354474505
0.0755378546821566,0.0018249869445360217,11.662093725603267,0.10225333448774736,0.3647402130029075,0.00837833172766384
0.07254799908243936,0.002318715240278762,11.834695403768936,0.13417840321861338,0.37508302966694107,0.009697029347554887
0.06922654624827436,0.0029126514248777723,12.036070661763967,0.17616695096221247,0.3864149928852048,0.011823447985637687
0.06548612037376973,0.0036087045862307175,12.273408558193509,0.2292112742391569,0.3988264032059081,0.014162928817203617
0.06126918182389377,0.004386919282171822,12.560757877463312,0.2980904021615628,0.41215613673581447,0.01669967226376515
0.05658158973777947,0.005198744608306927,12.908851641368404,0.3821021337229513,0.4275137019956051,0.019306296871086655
0.051499032339062036,0.0059654364640181565,13.320599501770499,0.479981813258788,0.444657649264403,0.023247589729892812
