avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.24962495927354444,0.0010151119047956732,11.224678996940767,0.032401935002110235,0.33288995816072525,0.0031584831465816523
0.2430078429795087,0.0019245878504060507,11.459093779405853,0.06827162607262635,0.3517265598487415,0.006193362480705987
0.2364151605570765,0.0030020460518024204,11.695043634441102,0.11008506171038042,0.3682035777462672,0.00828340157662309
0.22839164319384384,0.004537782943613631,11.98924642262055,0.17266621928986972,0.3848629744315188,0.0122305127511394
0.21763982771934098,0.006968983748572796,12.400765343412811,0.27822548064221964,0.40582856172121656,0.015538737312886972
0.20244539266528738,0.010791601510570095,13.019180886103959,0.4604804111746309,0.43295773043718244,0.02201236780393309
0.18082254309692,0.016233585455466423,13.981973314867286,0.7743484521947585,0.4702437196201198,0.03066993598424513
0.15184114738431287,0.02158970303580802,15.457119273731106,1.2088223251068595,0.5195497224949401,0.039081341152043314
0.11950521276472774,0.021484379779795743,17.37331251494972,1.444775842111098,0.5737617169162387,0.038360928084024096
0.09315155155714347,0.013369321772503539,19.157106334390384,1.0522040487469362,0.6194971927454415,0.02739213482199701
