avg_mse,std_mse,avg_psnr,std_psnr,avg_ssim,std_ssim
0.08357510662203885,0.0039440230819630055,20.647530352718,0.342864564183628,0.727672015221898,0.008532213216062701
0.056121461281603946,0.002712225514297971,23.384486538811707,0.38499351223529354,0.8138533986390455,0.010626435073947029
0.05108406291158283,0.0020665730104999632,24.149877975630602,0.310988381005305,0.8344332762317708,0.007336546050776068
0.04767153744317897,0.0012839746423064125,24.714102844392063,0.19772175491585836,0.8442848412753785,0.0035445136564983704
0.04607219416935201,0.0011831429814402757,24.97126606796054,0.20137341093086072,0.8483492094717204,0.001933444475068663
0.04514670280950169,0.0011299810981514463,25.144175391451306,0.19691585983750604,0.8505977642913797,0.0017300671520830491
0.04411067487512498,0.0013230607699979216,25.320342142570798,0.25730928642883594,0.8526249117077622,0.0017653071200648934
0.04338000204816002,0.0013805192650612871,25.432475018418522,0.24309435923510594,0.8538064619653845,0.0017834584686231827
0.04292852117182457,0.0013497263128649424,25.508204386874006,0.21454419566532645,0.8546053246633238,0.0016186133437443477
0.042262709657629724,0.001419878448980044,25.62247921677532,0.2297137614432857,0.8554981338651213,0.0019919324357648353
